,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,SharesShort,SharesShortPriorMonth,ShortRatio,ShortPercentOutstanding,ShortPercentFloat,PercentInsiders,PercentInstitutions,ForwardAnnualDividendRate,ForwardAnnualDividendYield,PayoutRatio,DividendDate,ExDividendDate,LastSplitFactor,LastSplitDate,Information,Error Message
0,A,Common Stock,Agilent Technologies Inc,"Agilent Technologies, Inc. is an American analytical instrumentation development and manufacturing company that offers its products and services to markets worldwide. Its global headquarters is located in Santa Clara, California.",1090872,NYSE,USD,USA,LIFE SCIENCES,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,"5301 STEVENS CREEK BLVD, SANTA CLARA, CA, US",October,2021-07-31,45956379000,1651000000,47.32,2.42,16.33,0.762,0.005,3.208,20.07,0.161,0.218,0.0835,0.2,6142000000,2837000000,3.208,0.344,0.258,177.13,47.32,33.0,7.48,9.37,7.78,30.09,1.042,179.35,100.08,169.11,148.5,302723000,301781000,3431500,3890500,2.14,0.01,0.0114,0.266,90.25,0.78,0.0051,0.189,2021-10-27,2021-10-04,1398:1000,2014-11-03,,
1,AA,Common Stock,Alcoa Corporation,"Alcoa Corporation produces and sells bauxite, alumina, and aluminum products in the United States, Spain, Australia, Brazil, Canada, and internationally. The company is headquartered in Pittsburgh, Pennsylvania.",1675149,NYSE,USD,USA,MANUFACTURING,PRIMARY PRODUCTION OF ALUMINUM,"201 ISABELLA STREET, SUITE 500, PITTSBURGH, PA, US",December,2021-06-30,9137748000,1730000000,21.23,-0.29,20.17,0.36,0.0078,2.303,56.24,0.0412,0.101,0.0476,0.105,10460000000,1362000000,2.303,1.163,0.319,55.21,21.23,8.3,0.874,2.432,0.93,5.73,2.576,52.08,11.41,47.2,39.44,186866000,185519000,12203200,12320000,1.62,0.07,0.0658,0.963,79.03,0,0,0,2016-11-25,None,1000:801,2016-11-01,,
2,AAC,Common Stock,Ares Acquisition Corporation,"Ares Acquisition Corporation focuses on effecting a merger, stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses. The company is headquartered in New York, New York.",1829432,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"245 PARK AVENUE, 44TH FLOOR, 245 PARK AVENUE, 42ND FLOOR, NEW YORK, NY, UNITED STATES",December,2021-06-30,1221262000,None,100.72,None,0.04,None,None,0.097,0,0,0,0,-99999.99,0,0,0.097,0,0,None,100.72,0,0,1.325,0,0,None,10,9.5,9.73,9.78,100000000,199975000,196150,90710,0.37,0,0.001,0,58.7,0,0,0,None,None,None,None,,
3,AACG,Common Stock,ATA Creativity Global,"ATA Creativity Global, provides educational services to individual students through its network of training centers in China. The company is headquartered in Beijing, China.",1420529,NASDAQ,USD,China,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,"8TH FLOOR, TOWER E, 6 GONGYUAN WEST ST., JIAN GUO MEN NEI, BEIJING, China",December,2021-06-30,74181000,None,None,None,6.86,None,None,-0.284,6.4,-0.251,-0.487,-0.094,-0.194,177418000,57742000,-0.284,0,0.393,26,0,0,0.418,2.142,0.359,0,1.187,7.5,1.06,2.568,2.992,31701200,8765500,38150,49190,0.65,0,0.0044,5.47,16.48,0,0,0,2018-08-24,2018-08-27,None,None,,
4,AACIU,Common Stock,Armada Acquisition Corp. I Unit,None,1844817,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,None,None,2021-02-08,None,None,None,None,0.005,None,None,None,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,None,10,9.76,9.9,9.88,0,0,2417,5470,0,0,0,0,0,0,0,0,None,None,None,None,,
5,AADI,Common Stock,Aadi Bioscience Inc,None,1422142,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,None,None,2021-06-30,560132000,None,None,None,None,None,None,-0.358,1.809,-0.13,-0.153,0,0,14499600,-428362,-0.358,0,-1,142,0,0,38.63,0,0,0,None,42.9,2.16,25.34,7.54,20869300,13458800,115090,116920,1.58,0.01,0.0087,1.725,14.53,0,0,0,None,None,None,None,,
6,AAIC,Common Stock,Arlington Asset Investment Corp,Arlington Asset Investment Corp. ,1209028,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6862 ELM STREET, SUITE 320, MCLEAN, VA, US",December,2021-06-30,123505000,None,764,None,5.92,None,0.0915,0.005,0.456,0.204,0.225,0.0034,0.0134,15314000,-55101000,0.005,-0.563,-0.522,4.5,764,22.47,8.06,0.623,0,0,1.798,4.41,2.38,3.758,3.926,32331100,29061100,276890,335280,2.44,0.01,0.0095,2.288,43.87,0,0.0915,0,2020-02-03,2019-12-30,1:20,2009-10-07,,
7,AAIN,Common Stock,AAIN,None,1209028,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6862 ELM STREET, SUITE 320, MCLEAN, VA, US",None,0000-00-00,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,None,25.15,24.6,25.0,24.92,0,0,0,0,0,0,0,0,0,0,0,0,2022-02-01,None,None,None,,
8,AAL,Common Stock,American Airlines Group Inc,"American Airlines Group Inc. is an American publicly traded airline holding company headquartered in Fort Worth, Texas.",6201,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","1 SKYVIEW DRIVE, FORT WORTH, TX, US",December,2021-06-30,13068939000,4512000000,None,0.627,0.365,0,0,-9.85,31.67,-0.311,-0.528,-0.09,0,18685999000,-5536000000,-9.85,0.188,3.61,19.42,0,1111.11,0.699,0,2.368,179.83,1.71,26.09,10.63,20.16,21.48,647458000,642382000,97302000,102607000,3.44,0.15,0.151,0.998,54.55,0.4,0.0303,0,2020-02-19,2020-02-04,0:1,2013-12-09,,
9,AAMC,Common Stock,Altisource Asset Management Corporation,"Altisource Asset Management Corporation, an asset management company, provides portfolio management and corporate governance services to institutional investors in the United States. The company is headquartered in Christiansted, Virgin Islands.",1555074,NYSE MKT,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,"5100 TAMARIND REEF, CHRISTIANSTED, VI",December,2021-06-30,48737300,-7291000,0.341,0,-128.11,None,0,69.55,-1.998,0,5.25,-0.169,0.05,-3584000,-11977000,69.55,0,0.008,None,0.341,0,2.367,0,0.727,6.95,0.798,31.89,12.54,23.21,18.84,2055600,1003600,26250,5450,0.24,0.01,0.0262,50.34,26.93,0,0,0,None,None,None,None,,
